district_id,total_aadhaar_holders,total_biometric_updates,last_biometric_update_date,total_demographic_updates,biometric_coverage_count,days_since_last_update,years_since_last_update,update_recency_rank,biometric_coverage_ratio,biometric_coverage_gap,uncovered_population,demographic_to_biometric_ratio,update_lag_proxy,adult_population_proxy,population_impact_score,update_consistency,operational_neglect_proxy,urgency_signal,governance_concern_score,days_since_last_update_norm,years_since_last_update_norm,update_recency_rank_norm,biometric_coverage_ratio_norm,biometric_coverage_gap_norm,uncovered_population_norm,demographic_to_biometric_ratio_norm,update_lag_proxy_norm,adult_population_proxy_norm,population_impact_score_norm,update_consistency_norm,operational_neglect_proxy_norm,urgency_signal_norm,governance_concern_score_norm,bsi_score,bsi_tier,cps_score,cps_tier,cps_rank,is_top_20,is_top_100,camp_type,deployment_freq_days,location_suitability,strategy_reasoning
Nuh,1506,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,1506.0,0.0,28.041095890410958,1129.5,0.03447170847830068,0.0,28.041095890410958,2.0,0.03447170847830068,1.0,1.0,1.0,0.0,1.0,0.06526826731385976,0.0,0.9999999999999999,0.03444960743470597,0.03444960743470598,0.0,0.9999999999999999,1.0,0.06526826731385976,1.0,Critical,71.03,Tier 2,12,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 71.03. Location is Standard Suitability (Pop Score: 0.03, Gap: 1.00)."
East Singhbum,1447,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,1447.0,0.0,28.041095890410958,1085.25,0.03312122321919062,0.0,28.041095890410958,2.0,0.03312122321919062,1.0,1.0,1.0,0.0,1.0,0.06271127676172315,0.0,0.9999999999999999,0.03309909126284707,0.03309909126284707,0.0,0.9999999999999999,1.0,0.06271127676172314,1.0,Critical,70.99,Tier 2,13,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.99. Location is Standard Suitability (Pop Score: 0.03, Gap: 1.00)."
Dinajpur Dakshin,997,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,997.0,0.0,28.041095890410958,747.75,0.02282091192089361,0.0,28.041095890410958,2.0,0.02282091192089361,1.0,1.0,1.0,0.0,1.0,0.043208806448816854,0.0,0.9999999999999999,0.022798544189346945,0.022798544189346945,0.0,0.9999999999999999,1.0,0.043208806448816854,1.0,Critical,70.68,Tier 2,14,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.68. Location is Standard Suitability (Pop Score: 0.02, Gap: 1.00)."
Gaurella Pendra Marwahi,983,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,983.0,0.0,28.041095890410958,737.25,0.02250045779161326,0.0,28.041095890410958,2.0,0.02250045779161326,1.0,1.0,1.0,0.0,1.0,0.04260206292797088,0.0,0.9999999999999999,0.02247808272483805,0.022478082724838054,0.0,0.9999999999999999,1.0,0.04260206292797088,1.0,Critical,70.67,Tier 2,15,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.67. Location is Standard Suitability (Pop Score: 0.02, Gap: 1.00)."
Dang,872,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,872.0,0.0,28.041095890410958,654.0,0.019959714338033327,0.0,28.041095890410958,2.0,0.019959714338033327,1.0,1.0,1.0,0.0,1.0,0.03779145358412066,0.0,0.9999999999999999,0.019937281113374686,0.019937281113374686,0.0,0.9999999999999999,1.0,0.03779145358412065,1.0,Critical,70.6,Tier 2,16,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.6. Location is Standard Suitability (Pop Score: 0.02, Gap: 1.00)."
Dadra And Nagar Haveli,716,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,716.0,0.0,28.041095890410958,537.0,0.016388939754623695,0.0,28.041095890410958,2.0,0.016388939754623695,1.0,1.0,1.0,0.0,1.0,0.031030597208979806,0.0,0.9999999999999999,0.01636642479456131,0.01636642479456131,0.0,0.9999999999999999,1.0,0.031030597208979802,1.0,Critical,70.49,Tier 2,17,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.49. Location is Standard Suitability (Pop Score: 0.02, Gap: 1.00)."
Medchal Malkajgiri,704,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,704.0,0.0,28.041095890410958,528.0,0.016114264786669108,0.0,28.041095890410958,2.0,0.016114264786669108,1.0,1.0,1.0,0.0,1.0,0.03051053133396897,0.0,0.9999999999999999,0.016091743539267973,0.016091743539267973,0.0,0.9999999999999999,1.0,0.030510531333968968,1.0,Critical,70.48,Tier 2,18,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.48. Location is Standard Suitability (Pop Score: 0.02, Gap: 1.00)."
S.A.S Nagar,705,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,705.0,0.0,28.041095890410958,528.75,0.016137154367331992,0.0,28.041095890410958,2.0,0.016137154367331992,1.0,1.0,1.0,0.0,1.0,0.030553870156886542,0.0,0.9999999999999999,0.01611463364387575,0.016114633643875755,0.0,0.9999999999999999,1.0,0.030553870156886542,1.0,Critical,70.48,Tier 2,19,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.48. Location is Standard Suitability (Pop Score: 0.02, Gap: 1.00)."
Medinipur West,645,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,645.0,0.0,28.041095890410958,483.75,0.014763779527559055,0.0,28.041095890410958,2.0,0.014763779527559055,1.0,1.0,1.0,0.0,1.0,0.02795354078183237,0.0,0.9999999999999999,0.014741227367409068,0.014741227367409068,0.0,0.9999999999999999,1.0,0.027953540781832365,1.0,Critical,70.44,Tier 2,20,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.44. Location is Standard Suitability (Pop Score: 0.01, Gap: 1.00)."
24 Paraganas South,490,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,490.0,0.0,28.041095890410958,367.5,0.011215894524812305,0.0,28.041095890410958,2.0,0.011215894524812305,1.0,1.0,1.0,0.0,1.0,0.021236023229609085,0.0,0.9999999999999999,0.011193261153203468,0.01119326115320347,0.0,0.9999999999999999,1.0,0.02123602322960908,1.0,Critical,70.34,Tier 2,21,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.34. Location is Standard Suitability (Pop Score: 0.01, Gap: 1.00)."
Nabarangpur,442,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,442.0,0.0,28.041095890410958,331.5,0.010117194652993957,0.0,28.041095890410958,2.0,0.010117194652993957,1.0,1.0,1.0,0.0,1.0,0.019155759729565746,0.0,0.9999999999999999,0.010094536132030122,0.010094536132030122,0.0,0.9999999999999999,1.0,0.019155759729565743,1.0,Critical,70.3,Tier 2,22,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.3. Location is Standard Suitability (Pop Score: 0.01, Gap: 1.00)."
Sivasagar,422,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,422.0,0.0,28.041095890410958,316.5,0.009659403039736312,0.0,28.041095890410958,2.0,0.009659403039736312,1.0,1.0,1.0,0.0,1.0,0.018288983271214355,0.0,0.9999999999999999,0.009636734039874561,0.009636734039874561,0.0,0.9999999999999999,1.0,0.018288983271214355,1.0,Critical,70.29,Tier 2,23,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.29. Location is Standard Suitability (Pop Score: 0.01, Gap: 1.00)."
Shopian,412,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,412.0,0.0,28.041095890410958,309.0,0.00943050723310749,0.0,28.041095890410958,2.0,0.00943050723310749,1.0,1.0,1.0,0.0,1.0,0.01785559504203866,0.0,0.9999999999999999,0.00940783299379678,0.00940783299379678,0.0,0.9999999999999999,1.0,0.01785559504203866,1.0,Critical,70.28,Tier 2,24,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.28. Location is Standard Suitability (Pop Score: 0.01, Gap: 1.00)."
Ahmednagar,368,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,368.0,0.0,28.041095890410958,276.0,0.00842336568394067,0.0,28.041095890410958,2.0,0.00842336568394067,1.0,1.0,1.0,0.0,1.0,0.0159486868336656,0.0,0.9999999999999999,0.008400668391054546,0.008400668391054546,0.0,0.9999999999999999,1.0,0.0159486868336656,1.0,Critical,70.25,Tier 2,25,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.25. Location is Standard Suitability (Pop Score: 0.01, Gap: 1.00)."
Ranga Reddy,284,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,284.0,0.0,28.041095890410958,213.0,0.006500640908258561,0.0,28.041095890410958,2.0,0.006500640908258561,1.0,1.0,1.0,0.0,1.0,0.012308225708589755,0.0,0.9999999999999999,0.00647789960400119,0.00647789960400119,0.0,0.9999999999999999,1.0,0.012308225708589754,1.0,Critical,70.19,Tier 2,26,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.19. Location is Standard Suitability (Pop Score: 0.01, Gap: 1.00)."
Visakhapatanam,226,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,226.0,0.0,28.041095890410958,169.5,0.00517304522981139,0.0,28.041095890410958,2.0,0.00517304522981139,1.0,1.0,1.0,0.0,1.0,0.00979457397937072,0.0,0.9999999999999999,0.005150273536750062,0.005150273536750062,0.0,0.9999999999999999,1.0,0.009794573979370719,1.0,Critical,70.15,Tier 2,27,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.15. Location is Standard Suitability (Pop Score: 0.01, Gap: 1.00)."
100000,218,0.0,1970-01-01,2.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,218.0,0.0,28.041095890410958,163.5,0.004989928584508332,0.0,28.041095890410958,2.0,0.004989928584508332,1.0,1.0,1.0,0.0,1.0,0.009447863396030164,0.0,0.9999999999999999,0.004967152699887838,0.004967152699887838,0.0,0.9999999999999999,1.0,0.009447863396030163,1.0,Critical,70.15,Tier 2,28,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.15. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
Ramanagara,204,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,204.0,0.0,28.041095890410958,153.0,0.00466947445522798,0.0,28.041095890410958,2.0,0.00466947445522798,1.0,1.0,1.0,0.0,1.0,0.00884111987518419,0.0,0.9999999999999999,0.004646691235378945,0.004646691235378945,0.0,0.9999999999999999,1.0,0.00884111987518419,1.0,Critical,70.14,Tier 2,29,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.14. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
Jhajjar *,1,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,1.0,0.0,28.041095890410958,0.75,2.2889580662882256e-05,0.0,28.041095890410958,2.0,2.2889580662882256e-05,1.0,1.0,1.0,0.0,1.0,4.333882291756956e-05,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,4.3338822917569554e-05,1.0,Critical,70.0,Tier 2,30,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
Namakkal   *,1,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,1.0,0.0,28.041095890410958,0.75,2.2889580662882256e-05,0.0,28.041095890410958,2.0,2.2889580662882256e-05,1.0,1.0,1.0,0.0,1.0,4.333882291756956e-05,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,4.3338822917569554e-05,1.0,Critical,70.0,Tier 2,31,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
Kendrapara *,1,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,1.0,0.0,28.041095890410958,0.75,2.2889580662882256e-05,0.0,28.041095890410958,2.0,2.2889580662882256e-05,1.0,1.0,1.0,0.0,1.0,4.333882291756956e-05,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,4.3338822917569554e-05,1.0,Critical,70.0,Tier 2,32,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
North East   *,2,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,2.0,0.0,28.041095890410958,1.5,4.577916132576451e-05,0.0,28.041095890410958,2.0,4.577916132576451e-05,1.0,1.0,1.0,0.0,1.0,8.667764583513912e-05,0.0,0.9999999999999999,2.2890104607778056e-05,2.2890104607778056e-05,0.0,0.9999999999999999,1.0,8.667764583513911e-05,1.0,Critical,70.0,Tier 2,33,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
Mangan,3,0.0,1970-01-01,67.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,3.0,0.0,28.041095890410958,2.25,6.866874198864677e-05,0.0,28.041095890410958,2.0,6.866874198864677e-05,1.0,1.0,1.0,0.0,1.0,0.00013001646875270868,0.0,0.9999999999999999,4.578020921555612e-05,4.578020921555612e-05,0.0,0.9999999999999999,1.0,0.00013001646875270868,1.0,Critical,70.0,Tier 2,34,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
punch,1,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,1.0,0.0,28.041095890410958,0.75,2.2889580662882256e-05,0.0,28.041095890410958,2.0,2.2889580662882256e-05,1.0,1.0,1.0,0.0,1.0,4.333882291756956e-05,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,4.3338822917569554e-05,1.0,Critical,70.0,Tier 2,35,False,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
Pashchim Champaran,16359,353.0,2025-12-29,1120.0,353.0,19,0.052054794520547946,1.0,0.02157833608411272,0.9784216639158873,16006.0,3.1728045325779037,0.025465769334797068,12269.25,0.37445065006409084,0.02051065799661756,0.025465769334797068,0.9793498515074847,0.3663706280900934,0.0,0.0,0.0,0.02157833608411272,0.9784216639158873,0.6936811996186184,0.014895795927595792,0.0009081588477968666,0.37443633117403347,0.37443633117403347,0.02157833608411272,0.0009081588477968666,0.4894379770865377,0.6936811996186184,0.5870529983495323,High,60.15,Tier 3,36,False,True,MONTHLY_MOBILE,28-35 days,Standard Suitability,"Assigned MONTHLY_MOBILE due to CPS 60.15. Location is Standard Suitability (Pop Score: 0.37, Gap: 0.98)."
Banas Kantha,13498,547.0,2025-12-29,473.0,547.0,19,0.052054794520547946,1.0,0.04052452215142984,0.9594754778485701,12951.0,0.8647166361974405,0.024972649423455937,10123.5,0.3089635597875847,0.038519402565812225,0.024972649423455937,0.9604036654401675,0.29644295916498814,0.0,0.0,0.0,0.04052452215142984,0.9594754778485701,0.5612810956054434,0.004059702517358876,0.0008905732329810861,0.30894774189118046,0.30894774189118046,0.04052452215142984,0.0008905732329810861,0.4799604856078842,0.5612810956054434,0.575685286709142,High,57.24,Tier 3,37,False,True,MONTHLY_MOBILE,28-35 days,Standard Suitability,"Assigned MONTHLY_MOBILE due to CPS 57.24. Location is Standard Suitability (Pop Score: 0.31, Gap: 0.96)."
Bengaluru Rural,2790,10.0,2025-12-25,79.0,10.0,23,0.06301369863013699,910.0,0.0035842293906810036,0.996415770609319,2780.0,7.9,0.03139392153974567,2092.5,0.06386193004944149,0.003371762184532387,0.03139392153974567,0.997539366114937,0.06363303424281266,0.0001955894577282284,0.0001955894577282286,0.9568421052631578,0.0035842293906810036,0.996415770609319,0.12048192771084337,0.037089201877934276,0.0011195682815835046,0.063840501751093,0.063840501751093,0.003547278572220374,0.0011195682815835046,0.4985369571704689,0.12048192771084336,0.5979406309351439,High,51.74,Tier 4,38,False,True,QUARTERLY_FIXED,90 days,Standard Suitability,"Assigned QUARTERLY_FIXED due to CPS 51.74. Location is Standard Suitability (Pop Score: 0.06, Gap: 1.00)."
Eastern West Khasi Hills,818,8.0,2025-12-08,306.0,8.0,40,0.1095890410958904,933.0,0.009779951100244499,0.9902200488997555,810.0,38.25,0.054258632816424957,613.5,0.018723676982237685,0.008814030003924054,0.054258632816424957,0.9921741280399606,0.018540560336934627,0.0010268446530731995,0.0010268446530731995,0.9810526315789473,0.009779951100244499,0.9902200488997555,0.03510444656323135,0.1795774647887324,0.0019349683417679638,0.018701215464554673,0.018701215464554673,0.009272842524676264,0.0019349683417679638,0.49585309256807003,0.03510444656323134,0.5947202552025315,High,50.11,Tier 4,39,False,True,QUARTERLY_FIXED,90 days,Standard Suitability,"Assigned QUARTERLY_FIXED due to CPS 50.11. Location is Standard Suitability (Pop Score: 0.02, Gap: 0.99)."
Kanchipuram,387,9.0,2025-12-25,8.0,9.0,23,0.06301369863013699,910.0,0.023255813953488372,0.9767441860465116,378.0,0.8888888888888888,0.03077413188913667,290.25,0.008858267716535433,0.02187724766243107,0.03077413188913667,0.9778677815521296,0.008652261490569493,0.0001955894577282284,0.0001955894577282286,0.9568421052631578,0.023255813953488372,0.9767441860465116,0.016382075062841294,0.004173187271778821,0.0010974653775803502,0.00883558037860233,0.00883558037860233,0.023016063294174056,0.0010974653775803502,0.4886965980394441,0.016382075062841294,0.5862086601417582,High,49.12,Tier 4,40,False,True,QUARTERLY_FIXED,90 days,Standard Suitability,"Assigned QUARTERLY_FIXED due to CPS 49.12. Location is Standard Suitability (Pop Score: 0.01, Gap: 0.98)."
Jalore,494,20.0,2025-12-28,1036.0,20.0,20,0.0547945205479452,881.0,0.04048582995951417,0.9595141700404858,474.0,51.8,0.02628805945316399,370.5,0.011307452847463834,0.03838266996161733,0.02628805945316399,0.9604912096105884,0.01084966123420619,4.8897364432057126e-05,4.8897364432057126e-05,0.9263157894736841,0.04048582995951417,0.9595141700404858,0.020542602062927972,0.2431924882629108,0.0009374833122036988,0.011284821571634582,0.011284821571634582,0.04038067195961932,0.0009374833122036988,0.48000427801687995,0.02054260206292797,0.5757648662700274,High,48.32,Tier 4,41,False,True,QUARTERLY_FIXED,90 days,Standard Suitability,"Assigned QUARTERLY_FIXED due to CPS 48.32. Location is Standard Suitability (Pop Score: 0.01, Gap: 0.96)."
